X,YEAR,CARRIER,dep_delay,dep_ontime,arr_delay,arr_ontime,cancelled,diverted,carrier_delay,weather_delay,nas_delay,security_delay,lateAircraft_delay,n,total_flights,delay_arr_pct,ontime_arr_pct,carrier_names
81,2011,CO,48458,194047,57677,184712,2885,662,795418,118386,1084607,7280,625501,365,245936,23.4520363,75.10571856,Continental Air Lines Inc.
82,2011,DL,114151,608395,128511,593458,10188,1433,2188241,300469,1827410,2316,2061147,365,733590,17.51809594,80.89777669,Delta Air Lines Inc.
83,2011,EV,71352,247496,75774,242520,9415,726,1788303,172145,634309,3478,2154904,365,328435,23.07123175,73.84109489,Atlantic Southeast Airlines
84,2011,F9,17374,67527,18348,66528,596,139,198889,18155,309822,0,323445,365,85611,21.43182535,77.70964012,Frontier Airlines Inc.
85,2011,FL,31588,214419,38061,207811,2790,608,345789,32337,639600,0,972376,365,249270,15.26898544,83.36783408,AirTran Airways Corporation
86,2011,HA,4219,62403,5542,61075,122,44,138703,2687,874,222,67740,365,66783,8.298519084,91.45291466,Hawaiian Airlines Inc.
87,2011,MQ,79489,351771,90632,339730,17658,1163,1495670,410623,1430509,520,1624753,365,449183,20.17707705,75.63287124,American Eagle Airlines Inc.
88,2011,OO,101895,473517,117141,457070,12688,1442,1348192,139645,1400901,6274,2948969,365,588341,19.9103921,77.68793948,Skywest Airlines Inc.
89,2011,UA,54635,251938,58816,247447,4880,594,836099,95246,993489,1890,1397413,365,311737,18.86718612,79.37684651,United Air Lines Inc.
90,2011,US,59768,343069,81118,321030,6605,781,1151148,126345,1329213,12143,1054506,365,409534,19.80739084,78.3890959,US Airways Inc.
91,2011,WN,264444,879216,212222,930735,12147,2272,2665593,401925,1323522,29827,5661162,365,1157376,18.33647838,80.41768621,Southwest Airlines Co.
92,2011,XE,82201,317279,94864,304157,14117,1265,1747864,151793,1412607,6345,2324357,365,414403,22.89172617,73.39642811,Expressjet Airlines Inc.
93,2011,YV,21174,131787,23395,129350,3499,241,387822,86421,193753,2027,634020,365,156485,14.95031473,82.65967984,Mesa Airlines Inc.
94,2012,AA,102962,412935,112581,402941,9569,1777,2140405,343832,1419535,4362,2295722,366,526868,21.36797073,76.47854871,American Airlines Inc.
95,2012,AS,15360,131087,18795,127345,1197,441,280863,40336,230849,3351,317018,366,147778,12.71840193,86.17317869,Alaska Airlines Inc.
96,2012,B6,44218,182508,46588,180000,2387,450,938191,79334,670333,4590,1080200,366,229425,20.30641822,78.4570121,JetBlue Airways
97,2012,DL,94508,628857,103278,619802,3713,1260,1965386,178807,1361153,2025,1629431,366,728053,14.18550573,85.13143961,Delta Air Lines Inc.
98,2012,EV,163242,562880,160243,565072,15272,1833,3441656,375026,1872886,5186,4540000,366,742420,21.58387436,76.1121737,Atlantic Southeast Airlines
99,2012,F9,16742,62277,18237,60763,250,116,217305,13588,276770,0,287282,366,79366,22.97835345,76.5604919,Frontier Airlines Inc.
100,2012,FL,23171,193519,29413,187203,1511,414,291128,10554,449045,0,609054,366,218541,13.45880178,85.66035664,AirTran Airways Corporation
101,2012,HA,4354,69691,6099,67938,67,40,158544,3581,3703,448,61695,366,74144,8.225884765,91.62980147,Hawaiian Airlines Inc.
102,2012,MQ,72807,390471,79371,383229,10373,1192,1449895,461716,1017505,2199,1553034,366,474165,16.7391098,80.82186581,American Eagle Airlines Inc.
103,2012,OO,101875,505330,111883,494316,11167,1235,1360820,109605,1277785,4660,2829060,366,618601,18.08645637,79.90869721,Skywest Airlines Inc.
104,2012,UA,127188,396792,117973,405519,7599,1130,2117628,158014,1661009,9977,2483603,366,532221,22.16616781,76.19372404,United Air Lines Inc.
105,2012,US,44238,356359,58341,341876,3990,506,803116,71106,892918,9406,613958,366,404713,14.41540054,84.47368876,US Airways Inc. 
106,2012,VX,8781,45680,8731,45718,285,74,87122,43565,304401,967,182814,366,54808,15.93015618,83.41482995,Virgin America
107,2012,WN,232554,898474,189985,940569,9580,1880,2598575,355588,1231329,23587,4612577,366,1142014,16.63596068,82.360549,Southwest Airlines Co.
108,2012,YV,17381,114797,19415,112642,1902,171,314822,35158,159601,2294,474104,366,134130,14.47476329,83.97972117,Mesa Airlines Inc.
109,2013,9E,44633,245401,50736,238163,7195,607,1059381,130727,877054,3218,1048829,365,296701,17.10004348,80.2703732,Pinnacle Airlines Inc.
110,2013,AA,108776,419619,108865,417491,9749,1786,1927664,341701,1406221,6384,2673758,365,537891,20.23923062,77.61628285,American Airlines Inc.
111,2013,AS,13723,140372,18796,134881,704,362,256638,32302,270987,5875,282671,365,154743,12.14659145,87.1645244,Alaska Airlines Inc.
112,2013,B6,54018,185822,59176,179969,2013,619,1074604,70959,998064,10231,1448875,365,241777,24.47544638,74.43594717,JetBlue Airways
113,2013,DL,105030,647380,113157,637735,2435,1343,2691572,333994,1749949,7816,1851196,365,754670,14.99423589,84.50514795,Delta Air Lines Inc.
114,2013,EV,174362,553842,180484,544704,21307,2201,3366064,312367,2859779,5278,5311897,365,748696,24.10644641,72.75369442,Atlantic Southeast Airlines
115,2013,F9,17721,57628,19950,55260,283,119,229551,19914,446957,0,421771,365,75612,26.38470084,73.08363752,Frontier Airlines Inc.
116,2013,FL,32418,140282,34131,138202,1326,293,389441,44578,489751,0,867680,365,173952,19.62092991,79.44835357,AirTran Airways Corporation
117,2013,HA,3268,68956,4712,67457,68,49,159197,3699,3906,778,56951,365,72286,6.51855131,93.31959162,Hawaiian Airlines Inc.
118,2013,MQ,96340,328458,105983,317155,15701,1026,1716605,643256,1577059,2348,2636992,365,439865,24.09443807,72.10280427,American Eagle Airlines Inc.
119,2013,OO,101361,511861,111864,498958,13926,1611,1694065,182183,1450952,8047,3182279,365,626359,17.85940651,79.66006715,Skywest Airlines Inc.
120,2013,UA,102699,398433,98754,400941,4920,1183,1732247,201021,1713003,6076,2174917,365,505798,19.52439511,79.26899671,United Air Lines Inc.
121,2013,US,52219,356504,71791,335954,4030,598,1091974,99878,1272552,11621,954772,365,412373,17.40923872,81.46847636,US Airways Inc. 
122,2013,VX,9410,47465,9892,46890,261,90,104426,41564,311105,5712,224852,365,57133,17.31398666,82.07165736,Virgin America
123,2013,WN,291426,830943,252944,867219,8440,2101,3177218,447198,1749046,24200,6254875,365,1130704,22.37048777,76.69726118,Southwest Airlines Co.
124,2013,YV,23952,113479,28042,109054,3654,172,466250,68812,250481,6067,903720,365,140922,19.89895119,77.38607173,Mesa Airlines Inc.
125,2014,AA,109406,420080,119751,407532,8457,1957,2196265,408197,1632082,4225,2890508,365,537697,22.2710932,75.79212828,American Airlines Inc.
126,2014,AS,16607,142961,20975,138080,759,443,289072,33869,304865,3943,357742,365,160257,13.08835183,86.16160293,Alaska Airlines Inc.
127,2014,B6,49843,193892,54594,188333,6076,690,951159,141661,937446,8216,1195747,365,249693,21.86444954,75.42582291,JetBlue Airways
128,2014,DL,115991,678042,122489,670011,6502,1373,2694134,498602,1833423,3556,1935914,365,800375,15.30395127,83.71213494,Delta Air Lines Inc.
129,2014,EV,155334,497390,164412,485353,34128,2128,3335616,276162,2680248,2833,4527875,365,686021,23.96603019,70.7490004,Atlantic Southeast Airlines
130,2014,F9,18320,66815,21654,63314,357,149,254513,20749,533348,0,518413,365,85474,25.3340197,74.07398741,Frontier Airlines Inc.
131,2014,FL,14299,63715,13518,64300,1516,161,166873,20783,168921,0,322035,362,79495,17.00484307,80.88559029,AirTran Airways Corporation
132,2014,HA,3782,70803,5826,68670,158,78,161083,5351,8862,289,71264,365,74732,7.795857196,91.8883477,Hawaiian Airlines Inc.
133,2014,MQ,83574,288827,100392,270132,21156,1021,1429366,462284,1628576,5425,2127224,365,392701,25.56448799,68.78821292,American Eagle Airlines Inc.
134,2014,OO,111354,484289,125024,468050,18308,1648,1991706,184342,1582523,7489,3470355,365,613030,20.3944342,76.35026018,Skywest Airlines Inc.
135,2014,UA,115972,370555,109965,375027,7330,1206,1985119,282459,1793066,208,2412901,365,493528,22.28141058,75.98900164,United Air Lines Inc.
136,2014,US,56928,351445,72596,334587,6737,745,1264474,130887,1159883,13627,959085,365,414665,17.50714432,80.68850759,US Airways Inc. 
137,2014,VX,9484,47700,10199,46857,335,119,100494,44487,310494,1689,210311,365,57510,17.73430708,81.476265,Virgin America
138,2014,WN,334478,825183,299133,857604,15165,2731,4439535,478836,1945812,13850,8484610,365,1174633,25.46608175,73.01037856,Southwest Airlines Co.
139,2015,AA,123739,591859,130279,582656,10919,2130,2753994,467420,1760561,16158,2833302,365,725984,17.94516133,80.25741614,American Airlines Inc.
140,2015,AS,18703,153207,22352,149087,669,413,347425,38832,301478,5825,381417,365,172521,12.95610389,86.41672608,Alaska Airlines Inc.
141,2015,B6,57691,205152,59175,202867,4276,730,1074056,115770,991461,11417,1417496,365,267048,22.15893772,75.96649292,JetBlue Airways
142,2015,DL,123364,748813,118023,752252,3824,1782,2707569,602901,1779383,3910,2136128,365,875881,13.47477568,85.88518303,Delta Air Lines Inc.
143,2015,EV,96997,460297,109184,445568,15231,1994,2363973,169313,1687894,0,2628976,365,571977,19.08887945,77.89963582,Atlantic Southeast Airlines
144,2015,F9,20781,69509,23570,66520,588,158,346950,21616,581234,0,634039,365,90836,25.94786208,73.23087763,Frontier Airlines Inc.
145,2015,HA,5585,70534,8618,67423,171,60,196422,11429,6241,401,126699,365,76272,11.29903503,88.39810153,Hawaiian Airlines Inc.
146,2015,MQ,56293,223989,60547,218244,15025,816,1055033,402305,930774,7049,1417073,365,294632,20.55004209,74.0734204,American Eagle Airlines Inc.
147,2015,NK,31602,83852,34221,80972,2004,182,471115,44088,941423,5147,701218,365,117379,29.15427802,68.98337863,Spirit Air Lines
148,2015,OO,96592,482494,107795,469019,9960,1579,2043703,250325,1333972,9896,2868684,365,588353,18.32148387,79.71727857,Skywest Airlines Inc.
149,2015,UA,120591,388943,104722,403040,6573,1388,2214313,325044,1510372,1305,2724772,365,515723,20.30586187,78.15048001,United Air Lines Inc.
150,2015,US,29144,165681,36549,157674,4067,425,636322,70557,601963,6163,523060,181,198715,18.39267292,79.34680321,US Airways Inc.
151,2015,VX,11029,50356,11778,49470,534,121,130710,35264,239808,1826,255509,365,61903,19.02654152,79.91535144,Virgin America
